starter_rank,starter_bucket,game_jam_role,name,creator_or_platform,asset_type,url,license_family,license_signal,commercial_use,attribution_required,download_requires_signup,evidence_level,evidence_url,last_checked,risk_notes,best_for,public_claim
1,2D,Prototype a 2D platformer level quickly.,Abstract Platformer,Kenney,2D platformer tiles/characters,https://kenney.nl/assets/abstract-platformer,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/abstract-platformer,2026-05-27,Low risk; broad platformer category,Platformer prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
2,2D,Fill a common game-jam prototype slot.,Light Masks,Kenney,2D VFX/light masks,https://kenney.nl/assets/light-masks,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/light-masks,2026-05-27,Page-level CC0 signal found,Lighting/VFX,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
3,2D,Fill a common game-jam prototype slot.,Physics Assets,Kenney,2D physics blocks/shapes,https://kenney.nl/assets/physics-assets,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/physics-assets,2026-05-27,Good for puzzle/physics games,Physics prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
4,2D,Prototype a 2D platformer level quickly.,Pixel Platformer,Kenney,2D pixel platformer,https://kenney.nl/assets/pixel-platformer,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/pixel-platformer,2026-05-27,Useful for jams,Pixel platformers,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
5,2D,Prototype a 2D platformer level quickly.,Platformer Art Extended Enemies,Kenney,2D platformer enemies,https://kenney.nl/assets/platformer-art-extended-enemies,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/platformer-art-extended-enemies,2026-05-27,Supplement to platformer packs,Enemy placeholders,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
6,3D,Block out a 3D prototype scene.,PSX Style Cars,GGBotNet,3D cars and SFX,https://ggbot.itch.io/psx-style-cars,CC0/public-domain signal,Listing says CC0/free 3D car pack,yes,no,no,page_level_signal,https://ggbot.itch.io/psx-style-cars,2026-05-27,Good PSX/retro niche,Retro 3D vehicles,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
7,3D,Block out a 3D prototype scene.,Car Kit,Kenney,3D cars,https://kenney.nl/assets/car-kit,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/car-kit,2026-05-27,Page-level CC0 signal found,Vehicle prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
8,3D,Block out a 3D prototype scene.,Cube Pets,Kenney,3D cube animal/pet assets,https://kenney.nl/assets/cube-pets,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/cube-pets,2026-05-27,Page-level CC0 signal found,Cute prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
9,3D,Block out a 3D prototype scene.,Factory Kit,Kenney,3D factory kit,https://kenney.nl/assets/factory-kit,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/factory-kit,2026-05-27,Page-level CC0 signal found,3D industrial scenes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
10,3D,Block out a 3D prototype scene.,Modular Dungeon Kit,Kenney,3D modular dungeon,https://kenney.nl/assets/modular-dungeon-kit,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/modular-dungeon-kit,2026-05-27,Page-level CC0 signal found,Dungeon prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
11,3D,Block out a 3D prototype scene.,Pirate Kit,Kenney,3D pirate assets,https://kenney.nl/assets/pirate-kit,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/pirate-kit,2026-05-27,Page-level CC0 signal found,Pirate prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
12,3D,Prototype a 2D platformer level quickly.,Platformer Kit,Kenney,3D platformer kit,https://kenney.nl/assets/platformer-kit,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/platformer-kit,2026-05-27,Page-level CC0 signal found,3D platformers,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
13,Fonts,Add a readable title/UI font without attribution friction.,First Time Writing Font CC0,GGBotNet,font,https://ggbot.itch.io/first-time-writing-font,CC0/public-domain signal,Title/listing says CC0,yes,no,no,page_level_signal,https://ggbot.itch.io/first-time-writing-font,2026-05-27,Good multilingual support,Handwritten fonts,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
14,Fonts,Add a readable title/UI font without attribution friction.,GGBotNet Fonts CC0 All-in-1,GGBotNet,fonts,https://ggbot.itch.io/ggbotnet-fonts-cc0,CC0/public-domain signal,Creative Commons Zero v1.0 Universal,yes,no,no,page_level_signal,https://ggbot.itch.io/ggbotnet-fonts-cc0,2026-05-27,High utility source,Game fonts,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
15,Fonts,Add a readable title/UI font without attribution friction.,Home Video Font CC0,GGBotNet,font,https://ggbot.itch.io/home-video-font,CC0/public-domain signal,Title/listing says CC0,yes,no,no,page_level_signal,https://ggbot.itch.io/home-video-font,2026-05-27,Good for VHS/retro UI,Retro fonts,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
