id,row_type,name,creator_or_platform,url,evidence_url,font_type,license_signal,commercial_use,attribution_required,redistribution_note,download_requires_signup,audit_status,risk_notes,best_for,last_checked
F001,font_source,GGBotNet Fonts CC0 All-in-1,GGBotNet,https://ggbot.itch.io/ggbotnet-fonts-cc0,https://ggbot.itch.io/ggbotnet-fonts-cc0,font bundle,Creative Commons Zero v1.0 Universal,yes,no,CC0 allows broad reuse but link original source and do not imply ownership,no,verified_page_signal,Good CC0 baseline source; verify individual files before bundling a shipped game,game UI and jam prototypes,2026-06-01
F002,font_source,Home Video Font CC0,GGBotNet,https://ggbot.itch.io/home-video-font,https://ggbot.itch.io/home-video-font,display font,CC0 signal on source page,yes,no,CC0 allows broad reuse but preserve source notes in audit log,no,verified_page_signal,Retro display style; check readability before using for body UI,retro VHS style game UI,2026-06-01
F003,font_source,Public Pixel Font CC0,GGBotNet,https://ggbot.itch.io/public-pixel-font,https://ggbot.itch.io/public-pixel-font,pixel font,CC0 signal on source page,yes,no,CC0 allows broad reuse but preserve source notes in audit log,no,verified_page_signal,Strong pixel-game candidate; check glyph coverage for localization,pixel games and UI,2026-06-01
F004,font_source,First Time Writing Font CC0,GGBotNet,https://ggbot.itch.io/first-time-writing-font,https://ggbot.itch.io/first-time-writing-font,handwritten font,CC0 signal on source page,yes,no,CC0 allows broad reuse but preserve source notes in audit log,no,verified_page_signal,Handwritten style can harm readability; test in target resolution,dialogue and handwritten UI,2026-06-01
F005,font_source,Inter,Google Fonts / Inter Project,https://fonts.google.com/specimen/Inter,https://raw.githubusercontent.com/google/fonts/main/ofl/inter/OFL.txt,sans UI font,SIL Open Font License file in google/fonts,yes,no,If distributing the font file include the OFL license and respect reserved font name terms,no,verified_license_file,Very strong UI font; not game-specific but practical for menus and tools,clean game UI and tools,2026-06-01
F006,font_source,Open Sans,Google Fonts / Open Sans Project,https://fonts.google.com/specimen/Open+Sans,https://raw.githubusercontent.com/google/fonts/main/ofl/opensans/OFL.txt,sans UI font,SIL Open Font License file in google/fonts,yes,no,If distributing the font file include the OFL license and respect reserved font name terms,no,verified_license_file,General-purpose UI choice; common visual style may feel generic,menus subtitles and docs,2026-06-01
F007,font_source,Lato,Google Fonts / tyPoland,https://fonts.google.com/specimen/Lato,https://raw.githubusercontent.com/google/fonts/main/ofl/lato/OFL.txt,sans UI font,SIL Open Font License file in google/fonts,yes,no,If distributing the font file include the OFL license and respect reserved font name terms,no,verified_license_file,Good for readable interface text; check style fit for fantasy/retro games,menus and HUD labels,2026-06-01
F008,font_source,Montserrat,Google Fonts / Montserrat Project,https://fonts.google.com/specimen/Montserrat,https://raw.githubusercontent.com/google/fonts/main/ofl/montserrat/OFL.txt,geometric sans font,SIL Open Font License file in google/fonts,yes,no,If distributing the font file include the OFL license and respect reserved font name terms,no,verified_license_file,Good headings; can be wide for compact HUD text,titles menus and store pages,2026-06-01
F009,font_source,Merriweather,Google Fonts / Merriweather Project,https://fonts.google.com/specimen/Merriweather,https://raw.githubusercontent.com/google/fonts/main/ofl/merriweather/OFL.txt,serif font,SIL Open Font License file in google/fonts,yes,no,If distributing the font file include the OFL license and respect reserved font name terms,no,verified_license_file,Useful for readable lore/dialogue; serif may blur at small pixel sizes,lore dialogue and readable text,2026-06-01
F010,font_source,Source Sans 3,Google Fonts / Adobe,https://fonts.google.com/specimen/Source+Sans+3,https://raw.githubusercontent.com/google/fonts/main/ofl/sourcesans3/OFL.txt,sans UI font,SIL Open Font License file in google/fonts,yes,no,If distributing the font file include the OFL license and respect reserved font name terms,no,verified_license_file,Adobe-related reserved-name/trademark wording deserves care if modifying,tool UI menus and readable text,2026-06-01
F011,font_source,Noto Sans,Google Fonts / Noto Project,https://fonts.google.com/specimen/Noto+Sans,https://raw.githubusercontent.com/google/fonts/main/ofl/notosans/OFL.txt,multilingual sans font,SIL Open Font License file in google/fonts,yes,no,If distributing the font file include the OFL license and respect reserved font name terms,no,verified_license_file,Good baseline for multilingual support; choose exact Noto family per script,multilingual UI fallback,2026-06-01
F012,font_source,Press Start 2P,Google Fonts / Press Start 2P Project,https://fonts.google.com/specimen/Press+Start+2P,https://raw.githubusercontent.com/google/fonts/main/ofl/pressstart2p/OFL.txt,pixel display font,SIL Open Font License file in google/fonts,yes,no,If distributing the font file include the OFL license and respect reserved font name terms,no,verified_license_file,Iconic pixel style but poor for long paragraphs,retro title screens,2026-06-01
