id,row_type,name,creator_or_platform,url,asset_type,license_family,license_signal,commercial_use,attribution_required,redistribution_risk,download_requires_signup,evidence_level,evidence_url,last_checked,risk_notes,best_for,public_claim
P1,asset_page,Dungeon Crawler Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/dungeon-crawler-pack,dungeon crawler assets,CC0/public-domain signal,Creator profile states all assets released under Public Domain CC0,yes,no,CC0 signal; still prefer source link and source log,no,creator_policy_signal,https://screamingbrainstudios.itch.io/,2026-05-27,Relies on creator profile-level CC0 statement; use the source page and keep provenance notes.,Dungeon crawlers and first-person prototypes,Direct asset page with creator-wide CC0/public-domain signal; verify before shipping.
P2,asset_page,Planet Texture Pack 1,Screaming Brain Studios,https://screamingbrainstudios.itch.io/planet-texture-pack-1,planet textures,CC0/public-domain signal,Creator profile states all assets released under Public Domain CC0,yes,no,CC0 signal; still prefer source link and source log,no,creator_policy_signal,https://screamingbrainstudios.itch.io/,2026-05-27,Relies on creator profile-level CC0 statement; use the source page and keep provenance notes.,Space games and planet rendering,Direct asset page with creator-wide CC0/public-domain signal; verify before shipping.
P3,asset_page,Planet Surface Backgrounds,Screaming Brain Studios,https://screamingbrainstudios.itch.io/planet-surface-backgrounds,planet surface backgrounds,CC0/public-domain signal,Creator profile states all assets released under Public Domain CC0,yes,no,CC0 signal; still prefer source link and source log,no,creator_policy_signal,https://screamingbrainstudios.itch.io/,2026-05-27,Relies on creator profile-level CC0 statement; use the source page and keep provenance notes.,Space side-scrollers and menus,Direct asset page with creator-wide CC0/public-domain signal; verify before shipping.
P4,asset_page,Planet Surface Backgrounds 2,Screaming Brain Studios,https://screamingbrainstudios.itch.io/planet-surface-backgrounds-2,planet surface backgrounds,CC0/public-domain signal,Creator profile states all assets released under Public Domain CC0,yes,no,CC0 signal; still prefer source link and source log,no,creator_policy_signal,https://screamingbrainstudios.itch.io/,2026-05-27,Relies on creator profile-level CC0 statement; use the source page and keep provenance notes.,Space side-scrollers and menus,Direct asset page with creator-wide CC0/public-domain signal; verify before shipping.
P5,asset_page,Cloudy Skyboxes Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/cloudy-skyboxes-pack,skyboxes,CC0/public-domain signal,Creator profile states all assets released under Public Domain CC0,yes,no,CC0 signal; still prefer source link and source log,no,creator_policy_signal,https://screamingbrainstudios.itch.io/,2026-05-27,Relies on creator profile-level CC0 statement; use the source page and keep provenance notes.,3D prototypes and sky backgrounds,Direct asset page with creator-wide CC0/public-domain signal; verify before shipping.
P6,asset_page,Planet Surface Skyboxes,Screaming Brain Studios,https://screamingbrainstudios.itch.io/planet-surface-skyboxes,skyboxes,CC0/public-domain signal,Creator profile states all assets released under Public Domain CC0,yes,no,CC0 signal; still prefer source link and source log,no,creator_policy_signal,https://screamingbrainstudios.itch.io/,2026-05-27,Relies on creator profile-level CC0 statement; use the source page and keep provenance notes.,Space scenes and 3D prototypes,Direct asset page with creator-wide CC0/public-domain signal; verify before shipping.
P7,asset_page,Iso Overworld Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/iso-overworld-pack,isometric overworld tiles,CC0/public-domain signal,Creator profile states all assets released under Public Domain CC0,yes,no,CC0 signal; still prefer source link and source log,no,creator_policy_signal,https://screamingbrainstudios.itch.io/,2026-05-27,Relies on creator profile-level CC0 statement; use the source page and keep provenance notes.,Isometric maps,Direct asset page with creator-wide CC0/public-domain signal; verify before shipping.
P8,asset_page,Isometric Roads Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/isometric-roads-pack,isometric road tiles,CC0/public-domain signal,Creator profile states all assets released under Public Domain CC0,yes,no,CC0 signal; still prefer source link and source log,no,creator_policy_signal,https://screamingbrainstudios.itch.io/,2026-05-27,Relies on creator profile-level CC0 statement; use the source page and keep provenance notes.,Isometric city maps,Direct asset page with creator-wide CC0/public-domain signal; verify before shipping.
P9,asset_page,Iso Wall Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/isowallpack,isometric wall tiles,CC0/public-domain signal,Creator profile states all assets released under Public Domain CC0,yes,no,CC0 signal; still prefer source link and source log,no,creator_policy_signal,https://screamingbrainstudios.itch.io/,2026-05-27,Relies on creator profile-level CC0 statement; use the source page and keep provenance notes.,Isometric interiors,Direct asset page with creator-wide CC0/public-domain signal; verify before shipping.
P10,asset_page,Isometric Doorways Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/isometric-doorways-pack,isometric doorway tiles,CC0/public-domain signal,Creator profile states all assets released under Public Domain CC0,yes,no,CC0 signal; still prefer source link and source log,no,creator_policy_signal,https://screamingbrainstudios.itch.io/,2026-05-27,Relies on creator profile-level CC0 statement; use the source page and keep provenance notes.,Isometric interiors,Direct asset page with creator-wide CC0/public-domain signal; verify before shipping.
