id,row_type,name,creator_or_platform,url,asset_type,license_family,license_signal,commercial_use,attribution_required,redistribution_risk,download_requires_signup,evidence_level,evidence_url,last_checked,risk_notes,best_for,public_claim
1,license_or_source_reference,Kenney Assets Index,Kenney,https://kenney.nl/assets,multi-category game assets,CC0/public-domain signal,Creative Commons CC0 via Kenney support/asset pages,yes,no,Do not use Kenney logo; link original source rather than rehosting whole catalog,no,reference_only,https://kenney.nl/assets,2026-05-27,Strong baseline source; individual pages still useful for category notes,General indie prototypes,Reference/source page; not counted as a direct asset pack.
2,license_or_source_reference,Kenney Support License FAQ,Kenney,https://kenney.nl/support,license reference,CC0/public-domain signal,All game assets on asset pages are public domain/CC0,yes,no,License reference only; not an asset pack,no,reference_only,https://kenney.nl/support,2026-05-27,Use as license evidence for Kenney rows,License evidence,Reference/source page; not counted as a direct asset pack.
3,asset_page,Abstract Platformer,Kenney,https://kenney.nl/assets/abstract-platformer,2D platformer tiles/characters,CC0/public-domain signal,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,page_level_signal,https://kenney.nl/assets/abstract-platformer,2026-05-27,Low risk; broad platformer category,Platformer prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
4,asset_page,Physics Assets,Kenney,https://kenney.nl/assets/physics-assets,2D physics blocks/shapes,CC0/public-domain signal,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,page_level_signal,https://kenney.nl/assets/physics-assets,2026-05-27,Good for puzzle/physics games,Physics prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
5,asset_page,Simple Space,Kenney,https://kenney.nl/assets/simple-space,2D space assets,CC0/public-domain signal,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,page_level_signal,https://kenney.nl/assets/simple-space,2026-05-27,Small pack; good starter asset,Space prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
6,asset_page,Tiny Town,Kenney,https://kenney.nl/assets/tiny-town,16x16 town tiles,CC0/public-domain signal,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,page_level_signal,https://kenney.nl/assets/tiny-town,2026-05-27,Useful but common style,Pixel RPG towns,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
7,asset_page,Sci-Fi RTS,Kenney,https://kenney.nl/assets/sci-fi-rts,2D RTS sci-fi tiles/buildings,CC0/public-domain signal,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,page_level_signal,https://kenney.nl/assets/sci-fi-rts,2026-05-27,Good genre-specific pack,RTS prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
8,asset_page,RPG Base,Kenney,https://kenney.nl/assets/rpg-base,2D RPG tiles,CC0/public-domain signal,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,page_level_signal,https://kenney.nl/assets/rpg-base,2026-05-27,Good foundation but generic,RPG prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
9,asset_page,Roguelike Modern City,Kenney,https://kenney.nl/assets/roguelike-modern-city,2D city roguelike tiles,CC0/public-domain signal,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,page_level_signal,https://kenney.nl/assets/roguelike-modern-city,2026-05-27,Large file count; useful for urban prototypes,Urban roguelikes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
10,asset_page,Micro Roguelike,Kenney,https://kenney.nl/assets/micro-roguelike,8x8 roguelike tiles,CC0/public-domain signal,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,page_level_signal,https://kenney.nl/assets/micro-roguelike,2026-05-27,Tiny style may not fit all games,Micro roguelikes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
11,asset_page,Pixel Platformer,Kenney,https://kenney.nl/assets/pixel-platformer,2D pixel platformer,CC0/public-domain signal,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,page_level_signal,https://kenney.nl/assets/pixel-platformer,2026-05-27,Useful for jams,Pixel platformers,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
12,asset_page,Platformer Art Extended Enemies,Kenney,https://kenney.nl/assets/platformer-art-extended-enemies,2D platformer enemies,CC0/public-domain signal,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,page_level_signal,https://kenney.nl/assets/platformer-art-extended-enemies,2026-05-27,Supplement to platformer packs,Enemy placeholders,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
13,asset_page,Input Prompts,Kenney,https://kenney.nl/assets/input-prompts,2D input prompt icons,CC0/public-domain signal,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,page_level_signal,https://kenney.nl/assets/input-prompts,2026-05-27,Page-level CC0 signal found,Controller/UI prompts,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
14,asset_page,Factory Kit,Kenney,https://kenney.nl/assets/factory-kit,3D factory kit,CC0/public-domain signal,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,page_level_signal,https://kenney.nl/assets/factory-kit,2026-05-27,Page-level CC0 signal found,3D industrial scenes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
15,asset_page,Light Masks,Kenney,https://kenney.nl/assets/light-masks,2D VFX/light masks,CC0/public-domain signal,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,page_level_signal,https://kenney.nl/assets/light-masks,2026-05-27,Page-level CC0 signal found,Lighting/VFX,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
16,asset_page,Car Kit,Kenney,https://kenney.nl/assets/car-kit,3D cars,CC0/public-domain signal,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,page_level_signal,https://kenney.nl/assets/car-kit,2026-05-27,Page-level CC0 signal found,Vehicle prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
17,asset_page,Platformer Kit,Kenney,https://kenney.nl/assets/platformer-kit,3D platformer kit,CC0/public-domain signal,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,page_level_signal,https://kenney.nl/assets/platformer-kit,2026-05-27,Page-level CC0 signal found,3D platformers,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
