id,row_type,name,creator_or_platform,url,asset_type,license_signal,commercial_use,attribution_required,redistribution_note,download_requires_signup,audit_status,risk_notes,best_for
1,license_or_source_reference,Kenney Assets Index,Kenney,https://kenney.nl/assets,multi-category game assets,Creative Commons CC0 via Kenney support/asset pages,yes,no,Do not use Kenney logo; link original source rather than rehosting whole catalog,no,source_reference_only,Strong baseline source; individual pages still useful for category notes,General indie prototypes
2,license_or_source_reference,Kenney Support License FAQ,Kenney,https://kenney.nl/support,license reference,All game assets on asset pages are public domain/CC0,yes,no,License reference only; not an asset pack,no,source_reference_only,Use as license evidence for Kenney rows,License evidence
3,asset_page,Abstract Platformer,Kenney,https://kenney.nl/assets/abstract-platformer,2D platformer tiles/characters,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,verified_page_signal,Low risk; broad platformer category,Platformer prototypes
4,asset_page,Physics Assets,Kenney,https://kenney.nl/assets/physics-assets,2D physics blocks/shapes,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,verified_page_signal,Good for puzzle/physics games,Physics prototypes
5,asset_page,Simple Space,Kenney,https://kenney.nl/assets/simple-space,2D space assets,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,verified_page_signal,Small pack; good starter asset,Space prototypes
6,asset_page,Tiny Town,Kenney,https://kenney.nl/assets/tiny-town,16x16 town tiles,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,verified_page_signal,Useful but common style,Pixel RPG towns
7,asset_page,Sci-Fi RTS,Kenney,https://kenney.nl/assets/sci-fi-rts,2D RTS sci-fi tiles/buildings,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,verified_page_signal,Good genre-specific pack,RTS prototypes
8,asset_page,RPG Base,Kenney,https://kenney.nl/assets/rpg-base,2D RPG tiles,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,verified_page_signal,Good foundation but generic,RPG prototypes
9,asset_page,Roguelike Modern City,Kenney,https://kenney.nl/assets/roguelike-modern-city,2D city roguelike tiles,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,verified_page_signal,Large file count; useful for urban prototypes,Urban roguelikes
10,asset_page,Micro Roguelike,Kenney,https://kenney.nl/assets/micro-roguelike,8x8 roguelike tiles,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,verified_page_signal,Tiny style may not fit all games,Micro roguelikes
